track_name,artist,release_date,popularity,track_id,preview_url,album,danceability,energy,valence,tempo,liveness,loudness,speechiness,acousticness,instrumentalness
Rap Like Me,Too $hort,1990-09-10,5,7auEvATrplTwnHHDB1kQbZ,https://p.scdn.co/mp3-preview/54112adbe7dbbb0b790576eb9ba17c0de1ee2587?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Short Dog's In the House,0.82,0.289,0.709,172.099,0.0826,-20.109,0.503,0.0205,0.0
What Rap?,Too $hort,1990-09-10,5,0Kn8RksFaH5bvSguDdxJIK,https://p.scdn.co/mp3-preview/0f9cd2ae21ecf033154b4b0959b4ed81a2b5619b?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Short Dog's In the House,0.847,0.269,0.618,91.871,0.063,-14.806,0.335,0.00124,0.0
Rebel Rap Family,Geto Boys,1991-07-02,18,1aExx3bdDrMCLWwXgZ4YqS,https://p.scdn.co/mp3-preview/a4968c810663387262b702e9ffac29b13e11661b?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,We Can't Be Stopped,0.923,0.589,0.118,123.971,0.11,-13.286,0.102,0.029,3.44e-05
Good Thing We're Rappin',Digital Underground,1991-10-15,11,37oSGDtprqOWqcprhCinQE,https://p.scdn.co/mp3-preview/ebfb2ab5e89c004a0e963628ef699f5529eec0f3?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Sons of the P,0.799,0.432,0.433,88.08,0.102,-15.149,0.35,0.219,0.0
Murder by Reason of Insanity,Scarface,1992-06-01,0,5DKTWcXi63YZBOfr37dNaY,https://p.scdn.co/mp3-preview/db27075328d9ebbdbcdd2adc95b6b5af0d33fb84?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Underground Masters (Rap-A-Lot Records),0.912,0.732,0.723,92.994,0.115,-11.855,0.259,0.115,5.76e-06
We Ain’t with Being Broke,Geto Boys,1992-06-01,0,5FmLqwf1yhvIEaJgy4O7Uw,https://p.scdn.co/mp3-preview/587092c9986612c2654c39a3353831699880f9e0?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Underground Masters (Rap-A-Lot Records),0.684,0.5,0.702,202.232,0.0832,-11.333,0.384,0.0296,0.0
Rappers' Ball (feat. Too $hort & K-Ci),E-40,,18,4lvXatG0x97KSC53mgX9Yx,https://p.scdn.co/mp3-preview/49d2cf9a6dabec61fb4cc145f10d031df2fb8649?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Tha Hall Of Game,0.847,0.407,0.399,88.999,0.0867,-4.601,0.303,0.00958,0.0
You Must Be Out of Your Fuckin' Mind (feat. Apache & Kool G Rap),Fat Joe,,15,3Nez0s9Uy8RJJzpYgaN0c4,https://p.scdn.co/mp3-preview/dd015d3341ef13d150e4da3c931495e88001411d?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Represent,0.638,0.559,0.796,179.407,0.591,-12.426,0.309,0.0724,0.00113
Rapper's Ball (feat. Too $hort & K-Ci),E-40,1996-10-29,39,30QatqmeD6QMbGbPjVAons,https://p.scdn.co/mp3-preview/c6582f2396f928a877f61a1ff9e99d657df55008?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Tha Hall Of Game,0.854,0.448,0.498,89.079,0.0911,-4.254,0.249,0.0156,0.0
Live Nigga Rap (feat. Mobb Deep),Nas,1996-07-02,45,0wBLOFRJTBo2elusmfZhu3,https://p.scdn.co/mp3-preview/6b1a66962f1a74c4ee4a62df585f18cae52d326c?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,It Was Written,0.858,0.672,0.807,94.008,0.0913,-8.192,0.255,0.0916,1.37e-05
Never Talk Down (feat. Rappin' 4-Tay & MC Breed) - Radio/Video Version,Too $hort,1996-05-21,28,0c7bGTvkElZc28mfKCrCdr,https://p.scdn.co/mp3-preview/f051ed737b1d202d089f666994c692b002d23985?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Gettin' It (Album Number Ten),0.893,0.522,0.559,96.047,0.0942,-8.514,0.106,0.268,0.000183
Rapper's Ball (feat. Too $hort & K-Ci) - Radio Version,E-40,1996-06-01,7,32Q2KsQxZ79CzR4CQvx1xA,https://p.scdn.co/mp3-preview/3e8ab2b04c4c8220d9a072667b5c0398428d7a38?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Rapper's Ball EP (feat. Too $hort & K-Ci),0.861,0.365,0.385,89.013,0.0887,-5.881,0.311,0.00816,0.0
Mind Playing Tricks on Me,Geto Boys,1996-06-01,12,55VxBT7ZA8dZ3SoClaTRtn,https://p.scdn.co/mp3-preview/01430dbe74666499a5f2546f7ed8be9357b4aecc?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Rap-A-Lot Records 10th Anniversary,0.851,0.624,0.463,94.027,0.288,-8.679,0.21,0.19,0.0
Rapper's Ball (feat. Too $hort & K-Ci) - Traxster Remix,E-40,1996-06-01,2,5ckGxrunqSKbfzF7tkga1n,https://p.scdn.co/mp3-preview/4535467927db5493cfbd9a8f2dc583633b541706?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Things'll Never Change - EP,0.754,0.482,0.27,88.972,0.0788,-13.134,0.16,0.000462,0.0
Hand of the Dead Body (aka People Don’t Believe”,Scarface,1996-06-01,7,2HwEEA8fAR4QBEzERaVUNX,https://p.scdn.co/mp3-preview/2f5f32de491fede62a893c729f9213fb47b2be7d?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Rap-A-Lot Records 10th Anniversary,0.721,0.767,0.799,83.234,0.272,-4.606,0.183,0.457,4.38e-06
